Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
9hvp,,2.8,,1992,,Ki=4.5nM,,Ki=4.5nM,,,,//,9hvp.pdf,0.00E+00,
4tim,,2.4,,1992,,Ki=6.9mM,,Ki=6.9mM,,,,//,4tim.pdf,(2PG),
4est,,1.78,,1992,,Ki=9.5uM,,Ki=9.5uM,,,,//,4est.pdf,(5-mer),covalent
2mip,,2.2,,1993,,IC50<=3.5nM,,IC50<=3.5nM,//,2mip.pdf,(7-mer),,,,
4phv,,2.1,,1993,,IC50=0.67nM,,IC50=0.67nM,//,4phv.pdf,(VAC),,,,
1rne,,2.4,,1993,,IC50=2nM,,IC50=2nM,,,,//,1rne.pdf,(C60),
1ind,,2.2,,1993,,Kd=0.09nM,,Kd=0.09nM,,,//,1ind.pdf,(EOT),Kd,for
1igj,,2.5,,1993,,Kd=0.1nM,,Kd=0.1nM,,,,//,1igj.pdf,(DGX),
1fkb,,1.7,,1993,,Kd=0.2nM,,Kd=0.2nM,,,,//,1fkb.pdf,(RAP),
1gca,,1.7,,1993,,Kd=0.2uM,,Kd=0.2uM,,,,//,1gca.pdf,(GAL),
1l83,,1.7,,1993,,Kd=0.40mM,,Kd=0.40mM,,,//,1l83.pdf,(BNZ),,
2avi,,3,,1993,,Kd=0.6fM,,Kd=0.6fM,,,,//,2avi.pdf,(BTN),
1rin,,2.6,,1993,,Kd=0.7mM,,Kd=0.7mM,,,,//,1rin.pdf,(MAN),
1dmb,,1.8,,1993,,Kd=1.80uM,,Kd=1.80uM,,,//,1dmb.pdf,(BCD),,
1atr,,2.34,,1993,,Kd=110nM,,Kd=110nM,,,,//,1atr.pdf,(ADP),Kd
1dbb,,2.7,,1993,,Kd=1nM,,Kd=1nM,,,,,,//,1dbb.pdf
1pop,,2.1,,1993,,Kd=1nM,,Kd=1nM,,,,,,//,1pop.pdf
1gpy,,2.4,,1993,,Kd=20uM,,Kd=20uM,,,,,//,1gpy.pdf,(G6P)
1abf,,1.9,,1993,,Kd=3.8uM,,Kd=3.8uM,,,,//,1abf.pdf,(FCA/FCB),isomer
1rgl,,2,,1993,,Kd=37uM,,Kd=37uM,,,,,//,1rgl.pdf,(2GP)
6rnt,,1.8,,1993,,Kd=4.3mM,,Kd=4.3mM,,,,//,6rnt.pdf,(2AM),
1rgk,,1.87,,1993,,Kd=49.1uM,,Kd=49.1uM,,,//,1rgk.pdf,(2AM),,
1hiv,,2,,1993,,Ki<1.0nM,,Ki<1.0nM,,,,//,1hiv.pdf,(1ZK),
1pip,,1.7,,1993,,Ki<10uM,,Ki<10uM,,,,,//,1pip.pdf,(7-mer)
8hvp,,2.5,,1993,,Ki<1nM,,Ki<1nM,,,,,,//,8hvp.pdf
3gst,,1.9,,1993,,Ki=0.19uM,,Ki=0.19uM,,,//,3gst.pdf,(GPR),,
1cps,,2.25,,1993,,Ki=0.22uM,,Ki=0.22uM,,,//,1cps.pdf,(CPM),,
7hvp,,2.4,,1993,,Ki=0.24nM,,Ki=0.24nM,,,//,7hvp.pdf,(6-mer),,
2gst,,1.8,,1993,,Ki=0.85uM,,Ki=0.85uM,,,//,2gst.pdf,(GPS),,
2lpr,,2.25,,1993,,Ki=1.3nM,,Ki=1.3nM,,,,//,2lpr.pdf,(5-mer),incomplete
3lpr,,2.15,,1993,,Ki=1100nM,,Ki=1100nM,,,//,3lpr.pdf,(5-mer),incomplete,ligand
1ppm,,1.7,,1993,,Ki=1600nM,,Ki=1600nM,,,//,1ppm.pdf,(0P1),,
1hos,,2.3,,1993,,Ki=2.8nM,,Ki=2.8nM,,,,//,1hos.pdf,(PHP),
1ppl,,1.7,,1993,,Ki=2.8nM,,Ki=2.8nM,,,,//,1ppl.pdf,(1Z7),
9lpr,,2.2,,1993,,Ki=2000nM,,Ki=2000nM,,,//,9lpr.pdf,(5-mer),incomplete,ligand
8lpr,,2.25,,1993,,Ki=240nM,,Ki=240nM,,,,//,8lpr.pdf,(5-mer),incomplete
5lpr,,2.13,,1993,,Ki=270nM,,Ki=270nM,,,,//,5lpr.pdf,(5-mer),incomplete
1bcd,,1.9,,1993,,Ki=2nM,,Ki=2nM,,,,,,//,1bcd.pdf
1ivp,,2.5,,1993,,Ki=30nM,,Ki=30nM,,,,,//,1ivp.pdf,(1ZK)
1trd,,2.5,,1993,,Ki=4uM,,Ki=4uM,,,,,,//,1trd.pdf
6lpr,,2.1,,1993,,Ki=50nM,,Ki=50nM,,,,,//,6lpr.pdf,(5-mer)
7lpr,,2.05,,1993,,Ki=66nM,,Ki=66nM,,,,,//,7lpr.pdf,(5-mer)
1mns,,2,,1993,,Ki=67uM,,Ki=67uM,,,,,//,1mns.pdf,(APG)
1ths,,2.2,,1994,,IC50=0.029uM,,IC50=0.029uM,1ths.pdf,(11-mer),,,,,
1htf,,2.2,,1994,,IC50=148nM,,IC50=148nM,,//,1htf.pdf,(G26),,,
2hmb,,2.1,,1994,,IC50=2.6uM,,IC50=2.6uM,,//,2hmb.pdf,(PLM),ligand,is,PALMITIC
1him,,2.9,,1994,,IC50=20nM,,IC50=20nM,,,//,1him.pdf,(10-mer),incomplete,ligand
1dbj,,2.7,,1994,,IC50=21nM,,IC50=21nM,,,//,1dbj.pdf,(AE2),,
1hte,,2.8,,1994,,IC50=2265nM,,IC50=2265nM,//,1hte.pdf,(G23),,,,
2dbl,,2.9,,1994,,IC50=2nM,,IC50=2nM,,,,//,2dbl.pdf,(S5H),
1htg,,2,,1994,,IC50=3.8nM,,IC50=3.8nM,,//,1htg.pdf,(G37),,,
1thr,,2.3,,1994,,IC50=4.2uM,,IC50=4.2uM,,//,1thr.pdf,(13-mer),X-ray(human,thrombin);,IC50=4.2uM(bovine
1acj,,2.8,,1994,,IC50=8.2nM,,IC50=8.2nM,,//,1acj.pdf,(THA),ligand,is,compound
1dbk,,3,,1994,,IC50=8nM,,IC50=8nM,,,,//,1dbk.pdf,(ANO),
1hsl,,1.89,,1994,,Kd=0.064uM,,Kd=0.064uM,,//,1hsl.pdf,(HIS),,,
2drc,,1.9,,1994,,Kd=0.13nM,,Kd=0.13nM,,,//,2drc.pdf,(MTX),,
1sre,,1.78,,1994,,Kd=0.14mM,,Kd=0.14mM,,,//,1sre.pdf,(HAB),,
1sri,,1.65,,1994,,Kd=0.83uM,,Kd=0.83uM,,,//,1sri.pdf,(DMB),,
1tka,,2.7,,1994,,Kd=0.8uM,,Kd=0.8uM,,,,//,1tka.pdf,(N3T),
1abt,,,NMR,,1994,,Kd=1.4uM,Kd=1.4uM,,,,,//,1abt.pdf,(12-mer)
1lst,,1.8,,1994,,Kd=14nM,,Kd=14nM,,,,,//,1lst.pdf,(LYS)
1tkc,,2.7,,1994,,Kd=14uM,,Kd=14uM,,,,,//,1tkc.pdf,(M6T)
1avd,,2.7,,1994,,Kd=1fM,,Kd=1fM,,,,,,//,1avd.pdf
1ctr,,2.45,,1994,,Kd=1uM,,Kd=1uM,,,,,,//,1ctr.pdf
1hgi,,2.7,,1994,,Kd=2.1mM,,Kd=2.1mM,,,,//,1hgi.pdf,(ANA),
1hgj,,2.7,,1994,,Kd=22mM,,Kd=22mM,,,,,//,1hgj.pdf,(AMN)
1dhj,,1.8,,1994,,Kd=281nM,,Kd=281nM,,,,//,1dhj.pdf,(MTX),
1tys,,1.8,,1994,,Kd=3.27uM,,Kd=3.27uM,,,//,1tys.pdf,(TMP),,
1sps,,2.7,,1994,,Kd=3nM,,Kd=3nM,,,,,,//,1sps.pdf
1pyg,,2.87,,1994,,Kd=3uM,,Kd=3uM,,,,,,//,1pyg.pdf
1adl,,1.6,,1994,,Kd=4.4uM,,Kd=4.4uM,,,,//,1adl.pdf,(ACD),
1mfd,,2.1,,1994,,Kd=4.9uM,,Kd=4.9uM,,,,//,1mfd.pdf,(3-mer),
1hge,,2.6,,1994,,Kd=5.4mM,,Kd=5.4mM,,,,//,1hge.pdf,(MNA),
2cgr,,2.2,,1994,,Kd=53nM,,Kd=53nM,,,,,//,2cgr.pdf,(GAS)
1dhi,,1.9,,1994,,Kd=55nM,,Kd=55nM,,,,,//,1dhi.pdf,(MTX)
1srg,,1.8,,1994,,Kd=5uM,,Kd=5uM,,,,,,//,1srg.pdf
1erb,,1.9,,1994,,Kd=8nM,,Kd=8nM,,,,,,//,1erb.pdf
1mfa,,1.7,,1994,,Kd=9.1uM,,Kd=9.1uM,,,,//,1mfa.pdf,(3-mer),
1tni,,1.9,,1994,,Ki=0.10mM,,Ki=0.10mM,,,//,1tni.pdf,(PBN),,
2ctc,,1.4,,1994,,Ki=0.13mM,,Ki=0.13mM,,,//,2ctc.pdf,(HFA),,
1add,,2.4,,1994,,Ki=0.18uM,,Ki=0.18uM,,,//,1add.pdf,(1DA),,
1tmb,,2.3,,1994,,Ki=0.18uM,,Ki=0.18uM,,,//,1tmb.pdf,(5-mer),,
1elc,,1.75,,1994,,Ki=0.22uM,,Ki=0.22uM,,,//,1elc.pdf,(0Z3),,
1wht,,2,,1994,,Ki=0.2mM,,Ki=0.2mM,,,,//,1wht.pdf,(BZS),
1tsi,,2.84,,1994,,Ki=0.33mM,,Ki=0.33mM,,,//,1tsi.pdf,(4PB),,
1cil,,1.6,,1994,,Ki=0.37nM,,Ki=0.37nM,,,//,1cil.pdf,(ETS),,
2sim,,1.6,,1994,,Ki=0.38mM,,Ki=0.38mM,,,//,2sim.pdf,(DAN),,
1thl,,1.7,,1994,,Ki=0.38uM,,Ki=0.38uM,,,//,1thl.pdf,(0DB),,
1tnh,,1.8,,1994,,Ki=0.43mM,,Ki=0.43mM,,,//,1tnh.pdf,(FBA),,
1ela,,2,,1994,,Ki=0.44uM,,Ki=0.44uM,,,//,1ela.pdf,(0Z1),,
1cbx,,2,,1994,,Ki=0.45uM,,Ki=0.45uM,,,//,1cbx.pdf,(BZS),,
1inc,,1.94,,1994,,Ki=0.46nM,,Ki=0.46nM,,,//,1inc.pdf,(ICL),covalent,complex
1ppc,,1.8,,1994,,Ki=0.69uM,,Ki=0.69uM,,,//,1ppc.pdf,(MID),,
1hps,,2.3,,1994,,Ki=0.6nM,,Ki=0.6nM,,,,//,1hps.pdf,(RUN),
1fig,,3,,1994,,Ki=0.6uM,,Ki=0.6uM,,,,//,1fig.pdf,(TSA),
1tet,,2.3,,1994,,Ki=0.83uM,,Ki=0.83uM,,,//,1tet.pdf,(15-mer),incomplete,ligand
1azm,,2,,1994,,Ki=0.8uM,,Ki=0.8uM,,,,//,1azm.pdf,(AZM),ligand
1rpa,,3,,1994,,Ki=1.0uM,,Ki=1.0uM,,,,//,1rpa.pdf,(TAR),
1tng,,1.8,,1994,,Ki=1.17mM,,Ki=1.17mM,,,//,1tng.pdf,(AMC),,
1pph,,1.9,,1994,,Ki=1.2uM,,Ki=1.2uM,,,,//,1pph.pdf,(0ZG),
1ett,,2.5,,1994,,Ki=1.3uM,,Ki=1.3uM,,,,//,1ett.pdf,(4QQ),X-ray(epsilon-thrombin);
1cim,,2.1,,1994,,Ki=1.52nM,,Ki=1.52nM,,,//,1cim.pdf,(PTS),,
1csi,,1.7,,1994,,Ki=1.6nM,,Ki=1.6nM,,,,//,1csi.pdf,(CMX),
1cin,,2.1,,1994,,Ki=1.88nM,,Ki=1.88nM,,,//,1cin.pdf,(MTS),,
1fki,,2.2,,1994,,Ki=100nM,,Ki=100nM,,,,//,1fki.pdf,(SB1),
1rpf,,2.2,,1994,,Ki=103uM,,Ki=103uM,,,,//,1rpf.pdf,(C3P),ligand
1gbt,,2,,1994,,Ki=10mM,,Ki=10mM,,,,,//,1gbt.pdf,(GBS)
1apw,,1.8,,1994,,Ki=10nM,,Ki=10nM,,,,,//,1apw.pdf,(5-mer)
1fkg,,2,,1994,,Ki=10nM,,Ki=10nM,,,,,//,1fkg.pdf,(SB3)
1tkb,,2.3,,1994,,Ki=10nM,,Ki=10nM,,,,,//,1tkb.pdf,(N1T)
1nnb,,2.8,,1994,,Ki=10uM,,Ki=10uM,,,,,//,1nnb.pdf,(DAN)
1tnj,,1.8,,1994,,Ki=11.0mM,,Ki=11.0mM,,,//,1tnj.pdf,(PEA),,
1ent,,1.9,,1994,,Ki=110nM,,Ki=110nM,,,,//,1ent.pdf,(0EM),redundant
1hvl,,1.8,,1994,,Ki=112pM,,Ki=112pM,,,,//,1hvl.pdf,(A76),Ki=112pM
7cpa,,2,,1994,,Ki=11fM,,Ki=11fM,,,,,//,7cpa.pdf,(FVF)
1epo,,2,,1994,,Ki=11nM,,Ki=11nM,,,,,//,1epo.pdf,(2Z3)
1hvk,,1.8,,1994,,Ki=11pM,,Ki=11pM,,,,,//,1hvk.pdf,(A79)
1hvi,,1.8,,1994,,Ki=12pM,,Ki=12pM,,,,,//,1hvi.pdf,(A77)
1tnl,,1.9,,1994,,Ki=13.3mM,,Ki=13.3mM,,,//,1tnl.pdf,(TPA),,
1bra,,2.2,,1994,,Ki=15000uM,,Ki=15000uM,,//,1bra.pdf,(BEN),,,
1hgt,,2.2,,1994,,Ki=150nM,,Ki=150nM,,,,//,1hgt.pdf,(12-mer),incomplete
1els,,2.4,,1994,,Ki=15pM,,Ki=15pM,,,,,//,1els.pdf,(PAH)
1eed,,2,,1994,,Ki=16.2uM,,Ki=16.2uM,,,//,1eed.pdf,(0EO),incomplete,ligand
1heg,,2.2,,1994,,Ki=18nM,,Ki=18nM,,,,,//,1heg.pdf,(PSI)
1sbg,,2.3,,1994,,Ki=18nM,,Ki=18nM,,,,,//,1sbg.pdf,(IM1)
1apv,,1.8,,1994,,Ki=1nM,,Ki=1nM,,,,,,//,1apv.pdf
1hef,,2.2,,1994,,Ki=1nM,,Ki=1nM,,,,,,//,1hef.pdf
1agm,,2.3,,1994,,Ki=1pM,,Ki=1pM,,,,,,//,1agm.pdf
1ppk,,1.8,,1994,,Ki=22nM,,Ki=22nM,,,,,//,1ppk.pdf,(IVV)
1csh,,1.65,,1994,,Ki=28nM,,Ki=28nM,,,,,//,1csh.pdf,(AMX)
1iht,,2.1,,1994,,Ki=3.5nM,,Ki=3.5nM,,,,//,1iht.pdf,(14-mer),incomplete
1lyb,,2.5,,1994,,Ki=3.8pM,,Ki=3.8pM,,,,//,1lyb.pdf,(6-mer),
1tnk,,1.8,,1994,,Ki=32.5mM,,Ki=32.5mM,,,//,1tnk.pdf,(PRA),,
1dwc,,3,,1994,,Ki=39nM,,Ki=39nM,,,,,//,1dwc.pdf,(MIT)
2cht,,2.2,,1994,,Ki=3uM,,Ki=3uM,,,,,,//,2cht.pdf
1aaq,,2.5,,1994,,Ki=4.0nM,,Ki=4.0nM,,,,//,1aaq.pdf,(PSI),
1hvj,,2,,1994,,Ki=4pM,,Ki=4pM,,,,,,//,1hvj.pdf
1epq,,1.9,,1994,,Ki=6.5nM,,Ki=6.5nM,,,,//,1epq.pdf,(0QF),incomplete
1dwd,,3,,1994,,Ki=6.6nM,,Ki=6.6nM,,,,//,1dwd.pdf,(MID),
1epp,,1.9,,1994,,Ki=69nM,,Ki=69nM,,,,,//,1epp.pdf,(1Z1)
1ets,,2.3,,1994,,Ki=6nM,,Ki=6nM,,,,,,//,1ets.pdf
1elb,,2.1,,1994,,Ki=70nM,,Ki=70nM,,,,,//,1elb.pdf,(0Z4)
8cpa,,2,,1994,,Ki=710pM,,Ki=710pM,,,,//,8cpa.pdf,(AGF),
1fkh,,1.95,,1994,,Ki=7nM,,Ki=7nM,,,,,,//,1fkh.pdf
1siv,,2.5,,1994,,Ki=8.4nM,,Ki=8.4nM,,,,//,1siv.pdf,(PSI),
1ida,,1.7,,1995,,IC50<=2.0nM,,IC50<=2.0nM,//,1ida.pdf,(0PO),,,,
1mnc,,2.1,,1995,,IC50=0.046nM,,IC50=0.046nM,1mnc.pdf,(PLH),ligand,is,compound,2a,
1fta,,2.3,,1995,,IC50=0.44uM,,IC50=0.44uM,//,1fta.pdf,(AMP),,,,
1shd,,2,,1995,,IC50=0.67uM,,IC50=0.67uM,//,1shd.pdf,(5-mer),,,,
1tps,,1.9,,1995,,IC50=10nM,,IC50=10nM,,,//,1tps.pdf,(8-mer),,
1idb,,2.2,,1995,,IC50=11nM,,IC50=11nM,,,//,1idb.pdf,(0DO),,
1hrn,,1.8,,1995,,IC50=9nM,,IC50=9nM,,,,//,1hrn.pdf,(03D),
1gsf,,2.7,,1995,,IC50~10uM,,IC50~10uM,,,//,1gsf.pdf,(EAA),,
1drj,,2.5,,1995,,Kd=0.040uM,,Kd=0.040uM,,//,1drj.pdf,(RIP),,,
2dri,,1.6,,1995,,Kd=0.13uM,,Kd=0.13uM,,,//,2dri.pdf,(RIP),,
1drk,,2,,1995,,Kd=0.15uM,,Kd=0.15uM,,,//,1drk.pdf,(RIP),,
1flr,,1.85,,1995,,Kd=0.1nM,,Kd=0.1nM,,,,//,1flr.pdf,(FLU),
1tyr,,1.8,,1995,,Kd=0.1uM,,Kd=0.1uM,,,,//,1tyr.pdf,(REA),
1hmr,,1.4,,1995,,Kd=0.28uM,,Kd=0.28uM,,,//,1hmr.pdf,(ELA),,
1hms,,1.4,,1995,,Kd=0.43uM,,Kd=0.43uM,,,//,1hms.pdf,(OLA),,
1cbr,,2.9,,1995,,Kd=0.4nM,,Kd=0.4nM,,,,//,1cbr.pdf,(REA),ligand
1hmt,,1.4,,1995,,Kd=1.64uM,,Kd=1.64uM,,,//,1hmt.pdf,(STE),,
1cka,,1.5,,1995,,Kd=1.9uM,,Kd=1.9uM,,,,//,1cka.pdf,(10-mer),incomplete
1utr,,,NMR,,1995,,Kd=10nM,Kd=10nM,,,,,,//,1utr.pdf
1ahx,,2,,1995,,Kd=120uM,,Kd=120uM,,,,//,1ahx.pdf,(HCI),
1cny,,2.3,,1995,,Kd=14nM,,Kd=14nM,,,,,//,1cny.pdf,(EG3)
1laf,,2.06,,1995,,Kd=14nM,,Kd=14nM,,,,,//,1laf.pdf,(ARG)
186l,,1.8,,1995,,Kd=14uM,,Kd=14uM,,,,,//,186l.pdf,(N4B)
1cnw,,2,,1995,,Kd=19nM,,Kd=19nM,,,,,//,1cnw.pdf,(EG1)
184l,,1.8,,1995,,Kd=19uM,,Kd=19uM,,,,,//,184l.pdf,(I4B)
1lcj,,1.8,,1995,,Kd=1nM,,Kd=1nM,,,,,,//,1lcj.pdf
1yda,,2.1,,1995,,Kd=280nM,,Kd=280nM,,,,//,1yda.pdf,(AZM),
185l,,1.8,,1995,,Kd=290uM,,Kd=290uM,,,,//,185l.pdf,(IND),ligand
1pgp,,2.5,,1995,,Kd=2uM,,Kd=2uM,,,,,,//,1pgp.pdf
1lah,,2.06,,1995,,Kd=30nM,,Kd=30nM,,,,,//,1lah.pdf,(ORN)
187l,,1.8,,1995,,Kd=422uM,,Kd=422uM,,,,//,187l.pdf,(PXY),ligand
1cnx,,1.9,,1995,,Kd=43nM,,Kd=43nM,,,,,//,1cnx.pdf,(EG2)
1ahy,,2.3,,1995,,Kd=440uM,,Kd=440uM,,,,//,1ahy.pdf,(MAE),
188l,,1.8,,1995,,Kd=470uM,,Kd=470uM,,,,//,188l.pdf,(OXE),ligand
1ckb,,1.9,,1995,,Kd=5.2uM,,Kd=5.2uM,,,,//,1ckb.pdf,(10-mer),incomplete
1ydb,,1.9,,1995,,Kd=5.8nM,,Kd=5.8nM,,,,//,1ydb.pdf,(AZM),
1lag,,2.06,,1995,,Kd=500nM,,Kd=500nM,,,,//,1lag.pdf,(HIS),
1prl,,,NMR,,1995,,Kd=59uM,Kd=59uM,,,,,,//,1prl.pdf
1prm,,,NMR,,1995,,Kd=59uM,Kd=59uM,,,,,,//,1prm.pdf
1rlp,,,NMR,,1995,,Kd=8.0uM,Kd=8.0uM,,,,,//,1rlp.pdf,(9-mer)
1rlq,,,NMR,,1995,,Kd=8.0uM,Kd=8.0uM,,,,,//,1rlq.pdf,(9-mer)
1ydd,,2.1,,1995,,Kd=86nM,,Kd=86nM,,,,,//,1ydd.pdf,(AZM)
1dis,,,NMR,,1995,,Ki<0.01nM,Ki<0.01nM,,,,//,1dis.pdf,(BDM),
2gyi,,1.6,,1995,,Ki<=100nM,,Ki<=100nM,,,//,2gyi.pdf,(HYA),,
1cgl,,2.4,,1995,,Ki=0.135uM,,Ki=0.135uM,,//,1cgl.pdf,(0ED),,,
1ele,,2,,1995,,Ki=0.14uM,,Ki=0.14uM,,,//,1ele.pdf,(0QN),,
2ada,,2.4,,1995,,Ki=0.1pM,,Ki=0.1pM,,,,//,2ada.pdf,(HPR),
1fpc,,2.3,,1995,,Ki=0.1uM,,Ki=0.1uM,,,,//,1fpc.pdf,(0ZI),
1eld,,2,,1995,,Ki=0.20uM,,Ki=0.20uM,,,//,1eld.pdf,(0Z0),,
1lcp,,1.65,,1995,,Ki=0.23uM,,Ki=0.23uM,,,//,1lcp.pdf,(PLU),,
2srt,,,NMR,,1995,,Ki=0.23uM,Ki=0.23uM,,,,//,2srt.pdf,(INH),
1pdz,,2.2,,1995,,Ki=0.2mM,,Ki=0.2mM,,,,//,1pdz.pdf,(PGA),
1tyn,,2,,1995,,Ki=0.2nM,,Ki=0.2nM,,,,//,1tyn.pdf,(CTA),covalent
1hvr,,1.8,,1995,,Ki=0.31nM,,Ki=0.31nM,,,//,1hvr.pdf,(XK2),IC50=0.22uM,
1atl,,1.8,,1995,,Ki=0.52uM,,Ki=0.52uM,,,//,1atl.pdf,(SLE-TYR),,
1tpw,,1.9,,1995,,Ki=0.5mM,,Ki=0.5mM,,,,//,1tpw.pdf,(PGH),
